n,training_time
1513,16.0572
1514,16.0166
1515,16.0129
1516,23.9932
1517,18.7795
1518,24.479
1519,16.0134
1520,16.0778
1521,15.946
1522,24.0172
1523,16.0075
1524,16.0469
1525,23.9991
1526,16.0492
1527,24.0258
1528,15.9328
1529,16.0029
1530,16.0019
1531,16.0137
1532,16.0697
1533,16.0117
1534,15.9979
1535,15.938
1536,24.3746
1537,7.9903
1538,16.0292
1539,16.0008
1540,31.9403
1541,24.0937
1542,15.9985
1543,16.0049
1544,24.0381
1545,24.077
1546,32.0627
1547,16.073
1548,15.9942
1549,31.6204
1550,15.9983
1551,20.0192
1552,15.996
1553,40.084
1554,13.077
1555,31.9365
1556,32.1307
1557,16.1339
1558,19.7461
1559,16.02
1560,24.034
1561,24.0025
1562,25.0279
1563,24.0939
1564,24.0005
1565,24.171
1566,16.0033
1567,32.2144
1568,24.0086
1569,16.0993
1570,16.0634
1571,19.0751
1572,16.0186
1573,32.0095
1574,24.0006
1575,16.111
1576,16.0016
1577,24.009
1578,23.9985
1579,24.1309
1580,32.071
1581,23.9966
1582,16.0022
1583,13.5851
1584,34.5561
1585,32.3557
1586,16.014
1587,23.9983
1588,39.9748
1589,27.511
1590,23.9953
1591,24.0633
1592,24.0108
1593,24.054
1594,32.1127
1595,15.9876
1596,28.0075
1597,15.9944
1598,16.0052
1599,24.0235
1600,24.0166
1601,19.5366
1602,24.0993
1603,28.2993
1604,22.9784
1605,25.9953
1606,17.3932
1607,16.4107
1608,25.2938
1609,16.6472
1610,36.2042
1611,33.6214
1612,29.8446
1613,25.4518
1614,19.2487
1615,16.4648
1616,32.346
1617,25.0888
1618,34.2409
1619,33.5016
1620,21.2032
1621,27.525
1622,32.4469
1623,28.7015
1624,24.7486
1625,32.9489
1626,32.2233
1627,17.5615
1628,25.2265
1629,23.7344
1630,16.8623
1631,19.6894
1632,18.5594
1633,15.9717
1634,18.3382
1635,23.626
1636,27.6826
1637,23.2128
1638,24.1583
1639,35.5325
1640,24.0925
1641,24.7602
1642,21.0418
1643,23.8275
1644,27.6088
1645,26.4074
1646,20.9593
1647,26.392
1648,18.9484
1649,35.6019
1650,30.2248
1651,28.4841
1652,25.1583
